t_CATEGORY, t_MANUFACTURE                       , t_BRAND                 , t_ITEMDESC                                                                 , t_MRP, t_PACKSIZE, t_PACKTYPE, rank, matched_itemcode, distance            , m_catcode, m_company                          , m_mbrand              , m_brand                  , m_sku                 , m_packtype, m_base_pack, m_flavor    , m_color, m_wght , m_uom, m_mrp
       126, MADHU CHEMICAL COMPANY              , MADHU                   , MADHU SWEET- SUPARI PPH 1.45 GM.                                           ,   3.0, 1.45GM    , PPH       ,    1,         99765320,  65.901611328125    ,       126, MADHU CHEMICAL COMPANY             , MADHU                 , MADHU                    , 1.45G PAAN MASALA     , PLAST     , 1.45G      , SWEET       ,        ,    1.45, GM   ,   3.0
       126, MADHU CHEMICAL COMPANY              , MADHU                   , MADHU-SWEET SUPERI PPH-1.45 GM                                             ,   3.0, 1.45 GM.  , PPH       ,    1,         99765320,  72.04277801513672  ,       126, MADHU CHEMICAL COMPANY             , MADHU                 , MADHU                    , 1.45G PAAN MASALA     , PLAST     , 1.45G      , SWEET       ,        ,    1.45, GM   ,   3.0
       126, MADHU PRODUCTS NEPAL                , MADHU                   , MADHU-MADHU-SWEET SUPARI PPH 1.45G                                         ,   3.0, 1.45G     , PPH       ,    1,         99765320, 111.76596069335938  ,       126, MADHU CHEMICAL COMPANY             , MADHU                 , MADHU                    , 1.45G PAAN MASALA     , PLAST     , 1.45G      , SWEET       ,        ,    1.45, GM   ,   3.0
       126, MADHU PRODUCTS NEPAL                , MADHU                   , MADHU-MADHU-SWEET SUPARI PPH 1.45G                                         ,  32.5, 1.45G     , PPH       ,    1,         99765320, 117.01622009277344  ,       126, MADHU CHEMICAL COMPANY             , MADHU                 , MADHU                    , 1.45G PAAN MASALA     , PLAST     , 1.45G      , SWEET       ,        ,    1.45, GM   ,   3.0
       134, AGRO THAI FOODS PVT LTD-NEPAL       , JUICE JELLY             , JUICE JELLY-CRANBERRY PBT 320ML                                            ,  99.0, 320 ML    , PBT       ,    1,         99765331,  32.22476577758789  ,       118, AGRO THAI FOODS PVT LTD-NEPAL      , JUICE JELLY           , JUICE JELLY              , CRANBERRY PET 320 ML  , PET       , 320.000 ML , CRANBERRY   ,        ,  320.0 , ML   ,  99.0
       134, AGRO THAI FOODS PVT LTD-NEPAL       , JUICE JELLY             , JUICE JELLY-STRAWBERRY PBT 320 ML                                          ,  99.0, 320ML     , PBT       ,    1,         99765330,  35.54944610595703  ,       118, AGRO THAI FOODS PVT LTD-NEPAL      , JUICE JELLY           , JUICE JELLY              , STRAWBERRY PET 320 ML , PET       , 320.000 ML , STRAWBERRY  ,        ,  320.0 , ML   ,  99.0
       134, CHAUDHARY GROUP - NEPAL             , RIO                     , RIO-APPLE-APPLE TPK 180ML                                                  ,  30.0, 180ML     , TPK       ,    1,         99765333,  43.5140380859375   ,       118, CHAUDHARY GROUP - NEPAL            , RIO                   , RIO                      , APPLE TPK 180 ML      , TPK       , 180.000 ML , APPLE       ,        ,  180.0 , ML   ,  30.0
       134, RAYBOT SPRING'S MINERAL WATER-NEPAL , RAYBOT REFRESH          , RAYBOT REFRESH MANGO PET 500ML                                             ,  90.0, 500ML     , PET       ,    1,         99765332,  17.262439727783203 ,       118, RAYBOT SPRING'S MINERAL WATER-NEPAL, RAYBOT                , RAYBOT REFRESH           , MANGO PET 500 ML      , PET       , 500.000 ML , MANGO       ,        ,  500.0 , ML   ,  90.0
       134, RAYBOT SPRING'S MINERAL WATER-NEPAL , RAYBOT REFRESH          , RAYBOT REFRESH-LITCHI-PBT-250ML                                            ,  50.0, 250 ML    , PBT       ,    1,         99765322,  47.0383186340332   ,       118, RAYBOT SPRING'S MINERAL WATER-NEPAL, RAYBOT                , RAYBOT REFRESH           , LITCHI PET 250 ML     , PET       , 250.000 ML , LYCHEE      ,        ,  250.0 , ML   ,  50.0
       134, SURYADAYA DAIRY UDHYOG PVT LTD NEPAL, SURYADAYA               , SURYADAYA BADAM DRINK\180ML\CAN\RS:100\SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,  99.0, 180ML     , CAN       ,    1,         99764327,  92.2071533203125   ,       118, SURYODAYA DAIRY UDHYOG-NEPAL       , ANUKUL                , ANUKUL BADAM DRINK       , BADAM DRINK CAN 180 ML, CAN       , 180.000 ML , ALMOND      ,        ,  180.0 , ML   ,  90.0
       134, SURYADAYA DAIRY UDHYOG PVT LTD NEPAL, SURYADAYA               , SURYADAYA BADAM DRINK\180ML\CAN\RS:100\SURYADAYA DAIRY UDHYOG PVT LTD NEPAL, 100.0, 180ML     , CAN       ,    1,         99764327,  93.08177185058594  ,       118, SURYODAYA DAIRY UDHYOG-NEPAL       , ANUKUL                , ANUKUL BADAM DRINK       , BADAM DRINK CAN 180 ML, CAN       , 180.000 ML , ALMOND      ,        ,  180.0 , ML   ,  90.0
       134, T.R. INTERNATIONAL GROUP P.LTD-NPL  , OXY PLUS                , OXY-PLUS/PBT/750ML/MRP 45/T.R.INTERNATIONAL GROUP PVT.LTD.                 ,  45.0, 750ML     , PBT       ,    1,         99765329,  88.67498779296875  ,       118, T.R. INTERNATIONAL GROUP P.LTD-NPL , OXY-PLUS              , OXY-PLUS                 , PET 750 ML            , PET       , 750.000 ML ,             ,        ,  750.0 , ML   ,  45.0
